id,condition,angle,rt,accuracy,trial
4,egocentric,90,2035.285,1,95
4,egocentric,45,2219.015,1,96
4,egocentric,135,2750.12,1,97
4,egocentric,90,1051.835,1,98
4,egocentric,0,922.335,1,99
4,egocentric,135,2346.02,1,100
4,egocentric,-45,1635.585,1,101
4,egocentric,-135,3685.67,1,102
4,egocentric,180,4120.365,1,103
4,egocentric,135,3443.04,1,104
4,egocentric,-135,1342.055,1,105
4,egocentric,180,7242.065,1,106
4,egocentric,-135,2334.345,1,107
4,egocentric,90,1602.295,1,108
4,egocentric,180,3316.88,1,109
4,egocentric,-45,2479.055,1,110
4,allocentric,0,1213.305,1,0
4,allocentric,-135,3252.29,1,1
4,allocentric,-90,1945.26,1,2
4,allocentric,-45,2270.985,1,3
4,allocentric,45,1422.4,1,4
4,allocentric,0,1201.055,1,5
4,allocentric,-135,2309.865,1,6
4,allocentric,135,5102.95,1,7
4,allocentric,90,1786.99,1,8
4,allocentric,-45,1510.175,1,9
4,allocentric,0,1012.915,1,10
4,allocentric,180,3312.91,1,11
4,allocentric,45,1405.07,1,12
4,allocentric,180,2204.56,1,13
4,allocentric,-90,2353.53,1,14
4,allocentric,90,1860.4,1,15
4,allocentric,180,2671.35,1,16
4,allocentric,45,2342.185,1,17
4,allocentric,180,3166.94,1,18
4,allocentric,90,1373.76,1,19
4,allocentric,-135,3527.355,1,20
4,allocentric,-135,2244.65,1,21
4,allocentric,45,1463.225,1,22
4,allocentric,135,3485.515,1,23
4,allocentric,-135,2717.505,1,24
4,allocentric,-135,2768.93,1,25
4,allocentric,90,4295.67,1,26
4,allocentric,45,1043.165,1,27
4,allocentric,-45,1401.765,1,28
4,allocentric,135,1974.065,1,29
4,allocentric,0,1956.215,1,30
4,allocentric,-90,1773.825,1,31
4,allocentric,90,1118.615,1,32
4,allocentric,135,3844.93,1,33
4,allocentric,0,3735.45,1,34
4,allocentric,-90,2599.595,1,35
4,allocentric,180,2804.565,1,36
4,allocentric,45,3157.565,1,37
4,allocentric,45,1042.96,1,38
4,allocentric,-90,4732.815,1,39
4,allocentric,180,6393.845,1,40
4,allocentric,-90,1712.545,1,41
