trial,ID,cue,direction,response,rt,choice,correct,condition
130,SS91,none,left,1,0.31992939999327064,right,0,neutral
131,SS91,left,left,0,0.30941030000394676,left,1,valid
132,SS91,none,right,0,0.3030097000009846,left,0,neutral
133,SS91,left,right,0,0.4638326999993296,left,0,invalid
134,SS91,right,right,1,0.4427055999985896,right,1,valid
135,SS91,none,right,1,0.932124200000544,right,1,neutral
136,SS91,right,left,1,0.5824081000027945,right,0,invalid
137,SS91,left,left,0,0.3507106000033673,left,1,valid
138,SS91,right,left,1,0.2893062000075588,right,0,invalid
139,SS91,left,left,0,0.6631261000002269,left,1,valid
140,SS91,right,right,1,0.2921918000065489,right,1,valid
141,SS91,none,left,1,0.3245249000028707,right,0,neutral
142,SS91,none,right,0,0.3870353999955114,left,0,neutral
143,SS91,none,left,1,0.29518800000369083,right,0,neutral
144,SS91,none,right,1,0.4057573000027333,right,1,neutral
145,SS91,left,left,0,0.3957354000012856,left,1,valid
146,SS91,none,left,1,0.4323402000009082,right,0,neutral
147,SS91,right,right,1,0.385560800001258,right,1,valid
148,SS91,none,left,1,0.3898894000012661,right,0,neutral
149,SS91,left,right,0,0.3979782999958843,left,0,invalid
150,SS91,none,left,1,0.3361523999919882,right,0,neutral
151,SS91,left,left,0,0.35187490000680555,left,1,valid
152,SS91,left,left,0,0.4418303999991622,left,1,valid
153,SS91,none,right,1,0.33824189999722876,right,1,neutral
154,SS91,none,left,0,0.3554701999964891,left,1,neutral
155,SS91,left,left,0,0.6207087999937357,left,1,valid
156,SS91,right,right,1,0.39811870000266936,right,1,valid
157,SS91,none,left,1,0.6295430999889504,right,0,neutral
158,SS91,right,right,1,0.2762397000042256,right,1,valid
159,SS91,none,right,1,0.4665391000016825,right,1,neutral
0,VP1,none,left,1,1.0618570999940855,right,0,neutral
1,VP1,left,left,1,1.0096807000227273,right,0,valid
2,VP1,left,left,1,1.1535818999400362,right,0,valid
3,VP1,none,left,0,NA,left,1,neutral
4,VP1,none,left,1,1.1372344000265002,right,0,neutral
5,VP1,left,right,1,0.9681626999517904,right,1,invalid
6,VP1,none,left,0,1.1474206000566485,left,1,neutral
7,VP1,right,left,1,0.8974624000256881,right,0,invalid
8,VP1,left,left,0,1.1764825000427663,left,1,valid
9,VP1,right,right,1,0.8273097999626771,right,1,valid
10,VP1,none,left,1,1.095858299988322,right,0,neutral
11,VP1,none,right,1,0.953893900034018,right,1,neutral
12,VP1,left,left,0,1.2499623999465257,left,1,valid
13,VP1,none,left,0,NA,left,1,neutral
14,VP1,none,right,1,1.045293000061065,right,1,neutral
15,VP1,right,right,1,0.9617186000104994,right,1,valid
16,VP1,none,right,1,1.4596197999780998,right,1,neutral
17,VP1,none,right,0,1.0449420000659302,left,0,neutral
18,VP1,left,right,1,1.2853637000080198,right,1,invalid
