subject,imagery,signal_present,correct,rt
4,0,0,0,0.255
4,0,0,1,0.011
4,0,0,0,0.7358999999761582
4,0,1,1,0.24740000009536744
4,0,0,1,0.16120000004768373
4,0,0,1,0.6076000000238418
4,0,1,1,0.088
4,1,1,1,0.22910000002384184
4,1,0,1,1.995399999976158
4,1,1,1,0.3262999999523163
4,1,1,1,0.3617000000476837
4,1,1,1,0.31510000002384186
4,1,0,0,0.5342999999523163
4,1,1,1,0.065
4,1,0,1,0.545
4,1,1,1,0.2375
4,1,0,0,0.20770000004768371
4,1,1,1,0.6591000000238418
4,1,1,0,0.05380000007152557
4,1,0,1,0.4976999999284744
4,1,0,1,0.5026999999284745
4,1,0,1,0.067
4,1,0,1,0.0415
